RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# SAVES,# BUNKERS,TOTAL O/U PAR
1,1,Luke Donald,66,63.64,56,88,+21.00
2,2,Dudley Hart,83,62.20,79,127,+26.00
3,3,Steve Stricker,64,62.03,49,79,+18.00
4,4,Chris Riley,86,61.90,104,168,+45.00
5,5,Brian Gay,107,61.59,93,151,+40.00
6,6,Doug Barron,74,60.50,72,119,+35.00
7,7,David Toms,76,59.43,63,106,+25.00
8,15,Rod Pampling,89,59.15,97,164,+43.00
9,8,Michael Allen,84,59.09,65,110,+31.00
10,9,Duffy Waldorf,96,58.90,96,163,+47.00
11,11,Jerry Smith,94,58.59,75,128,+40.00
12,14,Chad Campbell,91,58.45,83,142,+36.00
13,12,Corey Pavin,74,58.33,63,108,+32.00
14,17,Vaughn Taylor,88,57.35,78,136,+46.00
15,19,Stewart Cink,93,57.34,82,143,+41.00
16,20,Peter Lonard,77,57.14,68,119,+33.00
16,20,Steve Elkington,52,57.14,40,70,+20.00
18,22,Greg Chalmers,71,56.91,70,123,+47.00
19,16,Stuart Appleby,83,56.72,76,134,+31.00
20,18,Geoff Ogilvy,76,56.67,68,120,+46.00
21,23,Tim Petrovic,95,56.55,82,145,+47.00
22,12,K.J. Choi,93,56.49,74,131,+45.00
23,24,Bob May,65,56.41,44,78,+17.00
24,26,Mike Sposa,68,56.04,51,91,+29.00
25,27,Jeff Sluman,101,56.02,93,166,+48.00
26,28,Mark Wilson,79,55.81,48,86,+25.00
27,29,Steve Flesch,119,55.61,104,187,+69.00
28,25,Dean Wilson,115,55.32,104,188,+64.00
29,31,Tiger Woods,55,55.17,32,58,+13.00
30,30,Vijay Singh,103,55.09,92,167,+33.00
31,33,Trevor Immelman,86,55.05,60,109,+31.00
31,32,Jon Mills,68,55.05,60,109,+36.00
33,34,Ryuji Imada,105,54.94,89,162,+53.00
34,35,Aaron Baddeley,78,54.80,97,177,+53.00
35,44,Rory Sabbatini,84,54.48,73,134,+47.00
36,37,José María Olazábal,62,54.43,43,79,+12.00
37,39,Jerry Kelly,100,54.05,80,148,+41.00
38,40,Hidemichi Tanaka,74,53.91,62,115,+42.00
39,41,Mike Weir,88,53.79,78,145,+43.00
40,38,Adam Scott,70,53.61,52,97,+29.00
41,46,Brett Quigley,109,53.57,90,168,+54.00
42,45,Marco Dawson,87,53.23,66,124,+41.00
42,36,Ernie Els,69,53.23,66,124,+45.00
44,47,Nathan Green,108,53.07,95,179,+65.00
45,43,Carl Pettersson,95,53.05,87,164,+61.00
46,48,Kevin Sutherland,100,52.99,62,117,+37.00
47,42,Brett Wetterich,82,52.94,63,119,+33.00
48,49,Robert Gamez,94,52.90,82,155,+62.00
49,50,Kent Jones,103,52.87,83,157,+49.00
49,50,Jason Bohn,104,52.87,92,174,+58.00
51,52,Padraig Harrington,54,52.86,37,70,+21.00
51,52,Joe Ogilvie,95,52.86,74,140,+42.00
53,54,Daniel Chopra,110,52.72,97,184,+53.00
54,55,Carlos Franco,86,52.45,75,143,+43.00
55,56,Arjun Atwal,97,52.44,86,164,+54.00
56,57,Fred Funk,106,52.41,76,145,+58.00
57,58,Paul Azinger,87,52.35,78,149,+43.00
58,59,Justin Rose,98,52.31,68,130,+53.00
59,60,Steve Lowery,99,52.29,80,153,+64.00
60,61,Ryan Moore,68,52.25,58,111,+34.00
61,62,Heath Slocum,96,51.97,66,127,+53.00
61,62,John Senden,96,51.97,66,127,+39.00
63,64,Sean O'Hair,100,51.90,82,158,+58.00
64,65,Tim Herron,82,51.88,69,133,+48.00
65,72,Tom Pernice Jr.,108,51.72,90,174,+48.00
66,66,Bob Estes,85,51.56,66,128,+39.00
67,67,Jeff Overton,95,51.54,67,130,+40.00
68,68,Robert Allenby,79,51.49,69,134,+44.00
69,69,Chris DiMarco,83,51.22,63,123,+35.00
70,70,Mark O'Meara,52,51.11,46,90,+37.00
71,71,Tag Ridings,103,51.02,75,147,+49.00
72,73,David McKenzie,82,50.91,56,110,+41.00
73,74,David Branshaw,98,50.72,70,138,+44.00
74,75,Ian Poulter,53,50.68,37,73,+18.00
75,76,Shigeki Maruyama,94,50.64,79,156,+54.00
76,77,Stephen Leaney,84,50.50,51,101,+42.00
77,78,Jeff Gove,91,50.46,55,109,+29.00
78,79,Scott Verplank,88,50.39,64,127,+49.00
79,80,Lee Janzen,79,50.35,71,141,+60.00
79,80,Robert Damron,91,50.35,71,141,+60.00
81,82,David Howell,52,50.00,42,84,+28.00
81,82,Brian Davis,92,50.00,85,170,+47.00
81,82,Jason Gore,86,50.00,68,136,+56.00
81,82,Bo Van Pelt,102,50.00,84,168,+54.00
85,86,Bubba Dickerson,98,49.67,76,153,+48.00
86,87,"John Engler, Jr.",69,49.61,63,127,+41.00
87,88,David Duval,71,49.59,60,121,+54.00
88,89,Craig Barlow,77,49.54,54,109,+35.00
89,90,Skip Kendall,72,49.52,52,105,+37.00
90,95,Retief Goosen,68,49.48,48,97,+30.00
91,91,Harrison Frazar,95,49.39,81,164,+54.00
92,92,D.J. Trahan,92,49.34,75,152,+51.00
93,93,J.B. Holmes,81,49.26,67,136,+53.00
94,94,Steve Jones,83,49.25,66,134,+47.00
95,95,Freddie Jacobson,56,48.94,46,94,+36.00
96,97,Kenny Perry,73,48.84,42,86,+30.00
97,98,Justin Leonard,83,48.80,61,125,+50.00
98,99,Bill Haas,99,48.70,75,154,+52.00
99,100,Billy Mayfair,94,48.61,70,144,+56.00
100,101,Jonathan Byrd,66,48.60,52,107,+35.00
101,102,James Driscoll,80,48.59,69,142,+51.00
102,103,Bernhard Langer,77,48.45,47,97,+35.00
103,104,"Wes Short, Jr.",96,48.41,76,157,+67.00
104,105,Charles Howell III,96,48.30,71,147,+55.00
105,107,Vance Veazey,59,48.24,41,85,+36.00
106,108,John Huston,74,48.21,54,112,+45.00
107,109,Kris Cox,83,48.04,49,102,+37.00
108,110,Mark Brooks,90,48.03,61,127,+51.00
109,111,Jesper Parnevik,84,47.95,70,146,+40.00
110,112,Woody Austin,107,47.94,93,194,+67.00
111,113,Tim Clark,80,47.90,57,119,+41.00
112,114,Omar Uresti,61,47.89,34,71,+24.00
113,115,Paul Stankowski,70,47.87,45,94,+29.00
114,116,Ian Leggatt,80,47.86,56,117,+49.00
115,117,Brent Geiberger,99,47.74,74,155,+60.00
116,133,Jim Furyk,89,47.62,50,105,+43.00
116,118,J.L. Lewis,57,47.62,50,105,+37.00
118,131,Lucas Glover,105,47.53,77,162,+61.00
119,119,Thomas Levet,53,47.52,48,101,+46.00
120,120,Jeff Maggert,81,47.50,57,120,+44.00
121,121,Brian Bateman,69,47.42,46,97,+40.00
122,122,Len Mattiace,59,47.37,54,114,+50.00
123,130,Zach Johnson,98,47.29,61,129,+48.00
124,148,Arron Oberholser,82,47.20,59,125,+46.00
125,123,Pat Perez,50,47.19,42,89,+34.00
126,124,Troy Matteson,101,47.17,75,159,+47.00
127,125,Brandt Jobe,91,46.88,60,128,+43.00
128,126,Brad Faxon,78,46.85,67,143,+59.00
129,127,Richard Johnson,94,46.81,66,141,+52.00
130,128,Sergio Garcia,59,46.74,43,92,+41.00
131,129,Jimmy Walker,60,46.73,50,107,+38.00
132,132,Tjaart van der Walt,60,46.67,35,75,+37.00
133,134,Shaun Micheel,96,46.34,57,123,+46.00
134,135,Hunter Mahan,98,46.32,63,136,+53.00
135,137,Shane Bertsch,104,46.11,83,180,+84.00
136,138,Jason Schultz,77,46.09,53,115,+37.00
137,139,John Cook,67,46.07,41,89,+29.00
138,140,Henrik Bjornstad,97,45.99,63,137,+52.00
139,141,Charley Hoffman,100,45.91,73,159,+55.00
140,142,Robert Garrigus,85,45.89,67,146,+58.00
141,143,Ben Crane,85,45.60,57,125,+57.00
142,144,Frank Lickliter II,99,45.59,62,136,+46.00
143,145,Stephen Ames,63,45.54,46,101,+42.00
144,146,Kirk Triplett,58,45.35,39,86,+39.00
145,147,Billy Andrade,78,45.30,53,117,+33.00
146,149,Camilo Villegas,95,45.21,66,146,+53.00
147,150,Charles Warren,93,45.13,51,113,+42.00
147,150,Alex Cejka,93,45.13,51,113,+44.00
147,150,Mathew Goggin,72,45.13,51,113,+34.00
150,153,Michael Connell,51,45.07,32,71,+39.00
151,165,Ben Curtis,86,45.00,63,140,+71.00
152,136,Davis Love III,85,44.90,66,147,+49.00
153,154,Daisuke Maruyama,83,44.88,57,127,+58.00
154,155,Rich Beem,85,44.87,70,156,+54.00
155,156,Nicholas Thompson,96,44.67,67,150,+65.00
156,157,Olin Browne,108,44.59,66,148,+78.00
157,158,Briny Baird,81,44.55,45,101,+29.00
158,159,Paul Goydos,72,44.35,51,115,+50.00
159,160,Mark Calcavecchia,94,44.30,66,149,+70.00
160,161,Greg Kraft,79,44.25,50,113,+54.00
161,162,D.A. Points,82,43.84,64,146,+56.00
162,163,Larry Mize,53,43.75,28,64,+27.00
163,164,Nick Watney,97,43.51,67,154,+54.00
164,166,Ryan Palmer,101,43.40,69,159,+61.00
165,167,Danny Ellis,68,43.21,35,81,+30.00
166,168,John Daly,51,43.18,38,88,+30.00
167,169,Bubba Watson,83,42.97,55,128,+57.00
168,170,Tommy Armour III,65,42.86,51,119,+67.00
169,171,Jeff Brehaut,100,42.31,66,156,+64.00
170,172,Greg Owen,79,42.27,41,97,+38.00
171,173,Todd Hamilton,72,42.15,51,121,+56.00
172,174,Bart Bryant,87,41.84,41,98,+50.00
173,175,Scott Gutschewski,53,41.77,33,79,+34.00
174,176,Bob Tway,81,41.67,55,132,+52.00
175,177,Ted Purdy,103,41.55,59,142,+59.00
176,180,Joe Durant,101,41.50,61,147,+59.00
177,179,Patrick Sheehan,104,41.22,61,148,+73.00
178,181,Ryan Hietala,61,40.66,37,91,+45.00
179,182,Fred Couples,52,40.59,41,101,+43.00
180,183,Phil Mickelson,74,40.40,40,99,+31.00
181,184,Mathias Grönberg,92,40.28,58,144,+45.00
182,185,Todd Fischer,101,40.00,60,150,+82.00
183,186,Joey Sindelar,90,39.69,52,131,+84.00
184,191,J.J. Henry,96,39.68,50,126,+44.00
185,187,Eric Axley,91,39.58,57,144,+78.00
186,188,Tom Lehman,70,39.36,37,94,+31.00
186,188,Roger Tambellini,64,39.36,37,94,+43.00
188,190,John Rollins,93,39.33,59,150,+55.00
189,192,Matt Hansen,68,39.08,34,87,+32.00
190,193,Will MacKenzie,91,38.33,46,120,+55.00
191,194,Alex Aragon,63,37.93,33,87,+49.00
192,195,Ron Whittaker,81,37.50,42,112,+57.00
193,197,J.P. Hayes,55,36.84,28,76,+52.00
194,198,Chris Smith,67,36.36,32,88,+44.00
195,199,Jonathan Kaye,95,34.35,45,131,+52.00
196,200,Chris Couch,75,33.91,39,115,+71.00
