RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS
1,2,Aaron Baddeley,84,.595,41.618,70
2,3,Patrick Reed,94,.545,34.343,63
3,4,Jamie Lovemark,92,.519,40.476,78
4,5,Alex Cejka,77,.495,29.700,60
5,1,Jason Day,75,.479,23.488,49
6,6,Justin Rose,70,.450,23.868,53
7,7,Zach Johnson,94,.425,30.634,72
8,8,Louis Oosthuizen,62,.408,18.779,46
9,9,Wesley Bryan,69,.407,20.759,51
10,11,Zac Blair,64,.394,18.112,46
11,12,Tiger Woods,68,.385,22.732,59
12,10,Kevin Na,91,.373,26.100,70
13,13,Webb Simpson,95,.370,30.006,81
14,14,Bill Haas,76,.368,24.268,66
15,15,Luke List,98,.349,27.204,78
16,17,Jonathan Byrd,70,.339,16.250,48
17,18,Francesco Molinari,73,.327,18.614,57
18,16,Rory McIlroy,64,.322,16.420,51
19,19,Brandt Snedeker,84,.318,23.537,74
20,21,Justin Thomas,91,.311,21.127,68
21,23,Tommy Fleetwood,73,.296,15.982,54
22,20,Marc Leishman,93,.292,21.350,73
23,22,Si Woo Kim,108,.291,22.694,78
24,24,Ryan Moore,78,.273,18.042,66
25,25,Adam Hadwin,92,.267,17.622,66
26,27,Ricky Barnes,65,.257,11.566,45
27,29,Peter Malnati,87,.255,19.125,75
28,30,Brian Gay,103,.253,23.286,92
29,31,Tyrrell Hatton,58,.252,10.591,42
30,32,Ollie Schniederjans,91,.250,19.217,77
31,27,Rickie Fowler,74,.242,14.783,61
32,34,Bud Cauley,55,.239,9.786,41
33,33,Dustin Johnson,77,.238,14.785,62
34,35,Jim Furyk,50,.235,10.811,46
35,36,Rory Sabbatini,91,.234,17.547,75
36,37,Johnson Wagner,75,.226,12.456,55
37,26,Tony Finau,105,.222,17.967,81
38,42,Cameron Smith,85,.218,13.307,61
39,38,Matt Kuchar,88,.211,13.726,65
40,39,Cameron Percy,56,.210,8.616,41
41,40,Martin Laird,73,.209,12.751,61
42,43,Jonas Blixt,67,.196,9.412,48
43,44,Ryan Armour,109,.194,18.623,96
43,44,William McGirt,84,.194,14.532,75
45,46,Matt Jones,70,.192,9.018,47
46,47,Chris Kirk,108,.190,18.204,96
47,48,Tyrone Van Aswegen,101,.187,15.543,83
47,48,Andrew Putnam,97,.187,14.377,77
49,50,Jordan Spieth,81,.184,12.114,66
49,50,Ben Crane,65,.184,8.461,46
51,52,Austin Cook,107,.179,16.464,92
52,54,Jon Rahm,71,.176,8.970,51
53,55,Stephan Jaeger,81,.175,11.050,63
54,56,Byeong Hun An,86,.167,12.222,73
55,57,Jimmy Walker,81,.166,10.954,66
56,58,Brooks Koepka,64,.162,8.761,54
57,58,Peter Uihlein,83,.156,10.149,65
58,60,Russell Knox,94,.149,11.037,74
59,53,Patrick Cantlay,87,.146,9.770,67
60,41,Hideki Matsuyama,75,.143,8.151,57
61,61,Billy Hurley III,70,.139,7.931,57
62,62,Kiradech Aphibarnrat,51,.135,4.589,34
63,63,Dominic Bozzelli,65,.133,8.095,61
64,64,Branden Grace,67,.125,5.505,44
64,64,Adam Scott,78,.125,7.520,60
66,66,Anirban Lahiri,82,.120,8.053,67
67,68,Harris English,84,.111,7.539,68
68,73,Paul Casey,74,.109,5.328,49
69,69,"Ted Potter, Jr.",87,.105,8.062,77
70,70,Scott Piercy,84,.097,6.613,68
71,71,Rafa Cabrera Bello,75,.096,4.603,48
72,72,Charles Howell III,104,.095,7.385,78
73,78,Phil Mickelson,90,.091,6.360,70
74,73,Cameron Tringale,67,.088,4.506,51
75,75,Robert Streb,78,.084,5.067,60
76,76,Nate Lashley,51,.080,2.808,35
77,77,Richy Werenski,98,.077,5.719,74
78,67,Bryson DeChambeau,93,.070,5.427,78
79,80,Cheng Tsung Pan,104,.063,5.141,82
80,81,Stewart Cink,87,.055,3.662,67
81,82,Talor Gooch,78,.053,3.293,62
82,83,D.A. Points,63,.051,2.466,48
82,83,Ian Poulter,73,.051,2.538,50
82,83,Danny Lee,88,.051,3.557,70
85,86,Michael Thompson,62,.050,2.810,56
85,86,Rob Oppenheim,74,.050,2.679,54
87,88,Graeme McDowell,67,.049,2.239,46
88,92,Aaron Wise,90,.042,3.340,80
89,89,Pat Perez,82,.037,1.901,51
90,90,Patrick Rodgers,97,.034,2.498,73
91,91,J.B. Holmes,77,.032,2.156,68
92,93,James Hahn,85,.028,1.921,69
93,94,Brian Stuard,103,.026,2.300,88
93,79,Keegan Bradley,98,.026,2.041,80
95,95,Chad Campbell,87,.023,1.522,67
96,96,Harold Varner III,91,.021,1.591,74
97,97,Nick Taylor,94,.017,1.282,74
98,98,Kevin Streelman,94,.014,1.167,82
99,99,Shawn Stefani,76,.013,.809,60
99,99,Beau Hossler,104,.013,1.172,90
101,101,Ryan Blaum,81,.005,.371,72
102,102,Vaughn Taylor,83,-.002,-.115,70
103,103,Seamus Power,86,-.003,-.215,66
104,104,Joel Dahmen,93,-.004,-.316,71
105,105,J.T. Poston,73,-.005,-.267,57
106,106,Lucas Glover,65,-.008,-.374,46
107,107,Kyle Thompson,50,-.014,-.502,36
108,108,Grayson Murray,72,-.015,-.866,59
109,109,Denny McCarthy,71,-.019,-.922,49
110,110,Abraham Ancer,98,-.022,-1.847,83
111,111,Scott Stallings,96,-.025,-1.974,80
112,112,Kevin Tway,110,-.026,-2.332,90
113,118,Kyle Stanley,93,-.027,-1.798,67
113,113,Henrik Stenson,60,-.027,-1.195,44
113,113,Michael Kim,74,-.027,-1.474,54
113,119,Xander Schauffele,96,-.027,-1.973,72
113,113,Matt Atkins,56,-.027,-1.081,40
118,116,Alex Noren,67,-.029,-1.414,49
119,117,Fabián Gómez,88,-.030,-2.098,71
120,120,John Huh,94,-.047,-3.820,82
121,121,Derek Fathauer,84,-.048,-3.233,68
122,122,Shane Lowry,64,-.052,-2.666,51
122,122,Nicholas Lindheim,77,-.052,-3.066,59
124,124,Chris Stroud,81,-.058,-3.379,58
125,125,Charley Hoffman,87,-.071,-4.856,68
126,126,Charl Schwartzel,65,-.073,-3.057,42
126,126,Blayne Barber,69,-.073,-4.402,60
128,128,Tom Hoge,101,-.079,-6.555,83
129,129,David Lingmerth,82,-.081,-5.572,69
130,130,Retief Goosen,60,-.083,-3.317,40
131,131,Lanto Griffin,80,-.084,-5.042,60
132,132,Adam Schenk,86,-.091,-5.985,66
133,133,Keith Mitchell,99,-.092,-7.613,83
133,133,Troy Merritt,89,-.092,-6.697,73
135,135,Ben Martin,64,-.096,-5.461,57
135,135,Brian Harman,94,-.096,-6.902,72
137,137,Martin Flores,92,-.098,-7.058,72
138,138,Sam Ryder,82,-.099,-6.934,70
139,139,Jason Kokrak,99,-.101,-8.871,88
140,140,Chesson Hadley,103,-.102,-9.075,89
141,141,Cody Gribble,71,-.111,-6.010,54
142,142,David Hearn,66,-.113,-5.653,50
143,143,Kevin Kisner,89,-.118,-7.645,65
144,144,Emiliano Grillo,94,-.122,-8.920,73
144,144,Mackenzie Hughes,80,-.122,-8.310,68
146,146,Brandon Harkins,101,-.124,-10.579,85
146,146,Jhonattan Vegas,92,-.124,-7.905,64
148,148,Kelly Kraft,94,-.126,-9.327,74
149,149,Ben Silverman,90,-.128,-9.701,76
150,150,Chez Reavie,93,-.137,-8.242,60
151,151,J.J. Henry,81,-.138,-8.669,63
151,151,Sam Saunders,80,-.138,-9.220,67
153,153,Daniel Berger,81,-.145,-8.988,62
154,154,Whee Kim,93,-.146,-10.664,73
155,160,Patton Kizzire,92,-.150,-11.716,78
156,156,Andrew Landry,82,-.152,-11.076,73
157,158,Rod Pampling,62,-.163,-7.317,45
158,159,Sean O'Hair,67,-.164,-9.359,57
159,160,Tyler Duncan,97,-.166,-13.446,81
160,162,Nick Watney,94,-.167,-13.397,80
161,157,Billy Horschel,86,-.169,-13.037,77
162,163,Greg Chalmers,56,-.174,-7.128,41
162,163,Ryan Palmer,69,-.174,-10.417,60
164,165,Scott Brown,102,-.175,-14.172,81
165,166,Jason Dufner,71,-.178,-9.280,52
166,167,Xinjun Zhang,81,-.182,-10.370,57
166,167,Jonathan Randolph,71,-.182,-10.942,60
168,169,Martin Piller,79,-.186,-12.471,67
168,169,Russell Henley,77,-.186,-10.764,58
168,169,Robert Garrigus,80,-.186,-12.617,68
171,172,Zecheng Dou,53,-.187,-6.740,36
172,173,Brendan Steele,74,-.195,-10.535,54
173,174,Corey Conners,97,-.198,-15.640,79
174,175,Trey Mullinax,75,-.207,-12.199,59
175,176,Hudson Swafford,73,-.221,-11.474,52
176,177,Sung Kang,89,-.225,-15.059,67
177,178,Gary Woodland,96,-.228,-15.933,70
178,155,Bubba Watson,90,-.231,-15.689,68
179,179,Kevin Chappell,77,-.236,-14.659,62
180,180,Roberto Díaz,72,-.237,-13.245,56
181,181,Conrad Shindler,60,-.252,-11.107,44
182,182,J.J. Spaun,85,-.255,-18.120,71
183,183,Steve Wheatcroft,60,-.258,-11.877,46
184,184,Daniel Summerhays,51,-.277,-10.542,38
185,185,Brice Garnett,99,-.278,-22.537,81
186,186,Tom Lovelady,87,-.279,-19.267,69
187,187,Brett Stegmaier,67,-.296,-13.894,47
188,188,Bronson Burgoon,69,-.307,-17.472,57
189,189,Ethan Tracy,72,-.309,-16.708,54
190,190,Matt Every,79,-.314,-19.181,61
191,191,Andrew Yun,51,-.432,-14.690,34
192,192,Hunter Mahan,67,-.453,-23.108,51
193,194,Satoshi Kodaira,51,-.930,-37.189,40
