RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS
1,1,Rory McIlroy,72,1.195,68.124,57
2,3,Jhonattan Vegas,75,.753,45.956,61
3,4,Bubba Watson,65,.743,37.171,50
4,5,Dustin Johnson,73,.703,39.360,56
5,2,Jon Rahm,75,.692,36.684,53
6,6,Cameron Champ,78,.657,44.682,68
6,6,Keith Mitchell,86,.657,40.068,61
8,8,Corey Conners,90,.653,45.081,69
9,9,Paul Casey,79,.614,33.761,55
10,10,Abraham Ancer,93,.575,40.830,71
11,11,Jason Kokrak,94,.550,41.269,75
12,12,Tommy Fleetwood,71,.545,27.235,50
13,14,Jason Day,69,.535,25.143,47
14,15,Aaron Wise,72,.533,28.799,54
15,18,Brendan Steele,68,.518,26.393,51
16,20,Luke List,66,.481,26.461,55
17,24,Justin Thomas,75,.479,26.831,56
18,13,Patrick Cantlay,77,.475,27.052,57
19,16,Gary Woodland,87,.472,30.689,65
20,21,Emiliano Grillo,85,.470,25.847,55
21,16,Brooks Koepka,81,.468,27.146,58
22,19,Xander Schauffele,77,.456,24.184,53
23,22,Tony Finau,89,.439,28.547,65
24,25,Bryson DeChambeau,75,.421,27.760,66
25,26,Kevin Streelman,83,.383,26.403,69
26,23,Hideki Matsuyama,91,.381,27.796,73
27,27,Alex Prugh,77,.379,21.625,57
28,28,Sepp Straka,78,.378,21.948,58
29,30,Byeong Hun An,80,.351,21.391,61
30,32,Sergio Garcia,53,.350,13.284,38
31,34,Daniel Berger,70,.344,20.280,59
32,35,Seth Reeves,73,.343,18.158,53
33,36,Trey Mullinax,77,.341,21.463,63
33,29,Sungjae Im,122,.341,34.064,100
35,37,Matthew Fitzpatrick,54,.338,12.492,37
35,37,Joaquin Niemann,98,.338,27.054,80
37,30,Lucas Glover,94,.337,27.274,81
38,39,Kramer Hickok,79,.336,19.812,59
39,40,Brian Harman,91,.312,22.147,71
40,41,Adam Hadwin,86,.310,19.224,62
41,42,Matt Jones,88,.304,20.060,66
42,43,Rory Sabbatini,97,.300,22.833,76
43,33,Adam Scott,63,.285,12.557,44
44,44,Brice Garnett,87,.281,18.285,65
45,45,Sam Burns,80,.277,18.832,68
46,47,Dylan Frittelli,83,.272,18.522,68
47,48,Scott Piercy,90,.270,18.927,70
48,50,Jason Dufner,74,.264,15.030,57
49,46,Charles Howell III,94,.262,19.126,73
49,51,Hunter Mahan,59,.262,12.326,47
51,52,Harold Varner III,84,.260,19.227,74
52,53,Ryan Palmer,74,.255,13.022,51
53,54,Chez Reavie,99,.254,17.799,70
54,54,Joel Dahmen,100,.249,18.945,76
55,49,Rickie Fowler,76,.247,15.541,63
56,56,Keegan Bradley,89,.238,15.976,67
57,57,Austin Cook,68,.236,12.510,53
58,58,Max Homa,82,.213,14.714,69
58,58,Adam Svensson,73,.213,11.740,55
60,61,J.B. Holmes,78,.210,10.097,48
61,62,Jim Herman,52,.203,7.707,38
62,63,Scott Brown,86,.199,13.564,68
63,64,Cameron Davis,76,.197,11.201,57
64,65,Joey Garber,63,.191,8.223,43
65,67,Andrew Landry,80,.185,12.017,65
66,68,Rafa Cabrera Bello,71,.180,8.617,48
67,58,Justin Rose,66,.179,8.760,49
68,69,Carlos Ortiz,84,.177,12.725,72
69,70,Tyrrell Hatton,62,.176,7.399,42
70,72,Sung Kang,86,.165,11.577,70
71,73,Ben Silverman,70,.164,9.177,56
72,75,Patrick Rodgers,55,.157,7.066,45
73,76,Tyler Duncan,89,.156,10.169,65
74,71,Kevin Kisner,97,.149,10.605,71
75,77,Billy Horschel,99,.145,10.030,69
75,74,Patrick Reed,93,.145,10.557,73
77,78,Russell Henley,78,.137,8.336,61
78,79,Nick Taylor,97,.135,11.582,86
79,85,Louis Oosthuizen,71,.130,6.251,48
80,80,Kyoung-Hoon Lee,92,.125,7.721,62
81,81,Roberto Díaz,73,.118,6.017,51
82,82,Ryan Moore,74,.114,7.161,63
83,83,Danny Willett,63,.108,5.421,50
84,84,Francesco Molinari,61,.105,4.425,42
85,86,Martin Laird,88,.100,7.304,73
86,88,Hank Lebioda,76,.085,4.946,58
86,88,Danny Lee,83,.085,6.137,72
88,90,Wyndham Clark,87,.084,6.121,73
89,91,Alex Noren,63,.083,3.574,43
90,92,Josh Teater,73,.081,4.281,53
91,93,Adam Schenk,102,.080,6.537,82
92,94,Wes Roach,69,.079,3.884,49
93,95,Si Woo Kim,87,.066,3.921,59
94,86,Matt Kuchar,87,.063,4.190,66
95,97,Denny McCarthy,89,.061,4.207,69
96,98,Richy Werenski,89,.057,4.134,73
97,99,Bronson Burgoon,59,.054,2.556,47
98,100,Zach Johnson,64,.053,2.822,53
99,101,Charley Hoffman,74,.049,2.321,47
100,102,Fabián Gómez,62,.048,2.312,48
100,102,Beau Hossler,87,.048,3.239,68
102,105,Jim Knous,57,.041,1.589,39
103,106,Sam Ryder,76,.038,2.259,60
104,107,Kyle Stanley,81,.037,2.027,55
105,108,J.T. Poston,100,.032,2.855,88
106,109,Brandon Harkins,91,.030,2.091,69
107,110,Branden Grace,76,.024,1.093,45
108,111,Sangmoon Bae,60,.020,.785,40
109,112,Russell Knox,79,.013,.742,59
109,112,Chase Wright,75,.013,.757,57
111,114,Nick Watney,87,.010,.669,69
112,115,Scott Stallings,82,.009,.581,68
113,116,Jonas Blixt,82,-.003,-.220,64
114,95,Webb Simpson,81,-.007,-.517,69
115,117,Kiradech Aphibarnrat,65,-.015,-.692,45
116,118,Harris English,97,-.024,-1.920,79
117,119,Kyle Jones,72,-.030,-1.617,54
118,120,Adam Long,76,-.036,-2.474,68
119,121,Michael Thompson,71,-.045,-2.893,65
120,122,J.J. Spaun,90,-.046,-2.931,64
121,123,Hudson Swafford,59,-.047,-2.199,47
122,124,Sebastián Muñoz,86,-.048,-3.068,64
123,125,Ryan Blaum,90,-.052,-3.745,72
124,127,Troy Merritt,69,-.054,-3.003,56
125,128,José de Jesús Rodríguez,67,-.067,-3.259,49
126,129,Mackenzie Hughes,80,-.068,-4.503,66
127,130,Roger Sloan,88,-.072,-5.064,70
127,130,Jim Furyk,73,-.072,-4.110,57
129,132,Martin Trainer,63,-.075,-3.744,50
130,126,Marc Leishman,76,-.077,-4.361,57
131,133,Ian Poulter,65,-.078,-3.445,44
132,134,Bill Haas,77,-.083,-5.045,61
133,135,Alex Cejka,58,-.092,-3.668,40
134,136,J.J. Henry,58,-.099,-4.047,41
134,136,Kevin Tway,84,-.099,-6.619,67
136,138,Ryan Armour,92,-.103,-7.737,75
137,139,Cameron Tringale,73,-.108,-5.519,51
138,140,John Chin,58,-.112,-4.245,38
139,141,Cheng Tsung Pan,84,-.114,-6.824,60
140,142,Cameron Smith,79,-.123,-6.539,53
141,143,Sam Saunders,78,-.136,-9.094,67
142,145,David Hearn,55,-.158,-5.384,34
143,146,Bud Cauley,82,-.163,-12.025,74
144,148,Tom Hoge,98,-.179,-12.856,72
145,149,Jimmy Walker,74,-.181,-10.290,57
146,150,Rod Pampling,56,-.187,-7.679,41
147,150,Brandt Snedeker,102,-.193,-15.455,80
148,152,Johnson Wagner,64,-.200,-9.414,47
149,153,Vaughn Taylor,93,-.205,-16.819,82
150,154,Dominic Bozzelli,73,-.236,-11.573,49
151,155,Brian Stuard,98,-.239,-18.430,77
151,155,Stephan Jaeger,77,-.239,-13.620,57
153,157,Talor Gooch,54,-.240,-11.523,48
154,158,Seamus Power,80,-.247,-15.291,62
154,158,Nate Lashley,70,-.247,-13.603,55
156,160,"Ted Potter, Jr.",73,-.253,-15.204,60
157,161,Robert Streb,80,-.256,-15.348,60
158,162,Anders Albertson,68,-.265,-13.757,52
159,163,Kevin Na,65,-.282,-12.391,44
160,164,Julián Etulain,70,-.284,-14.489,51
161,165,Ollie Schniederjans,77,-.285,-17.406,61
162,166,Brian Gay,93,-.286,-20.626,72
163,167,Henrik Stenson,58,-.293,-12.307,42
164,168,Shawn Stefani,80,-.303,-18.794,62
165,169,Kelly Kraft,87,-.307,-19.944,65
165,169,Phil Mickelson,63,-.307,-15.345,50
167,171,Satoshi Kodaira,67,-.311,-15.857,51
168,172,Chesson Hadley,76,-.336,-20.167,60
169,173,Cody Gribble,74,-.374,-21.708,58
170,174,Roberto Castro,76,-.382,-23.695,62
171,175,Peter Malnati,87,-.410,-31.155,76
172,176,Graeme McDowell,75,-.426,-21.296,50
173,177,Anirban Lahiri,73,-.431,-25.415,59
174,178,Brady Schnell,53,-.439,-17.107,39
175,179,Peter Uihlein,84,-.442,-25.653,58
176,180,Jordan Spieth,82,-.452,-29.813,66
177,181,Aaron Baddeley,55,-.460,-19.321,42
178,182,Ernie Els,51,-.463,-13.889,30
179,183,Patton Kizzire,76,-.489,-25.933,53
180,184,Pat Perez,68,-.498,-20.408,41
181,185,Curtis Luck,65,-.546,-24.035,44
182,186,Chris Stroud,70,-.557,-28.975,52
183,187,Scott Langley,78,-.593,-37.966,64
184,188,Andrew Putnam,81,-.639,-35.778,56
184,188,Freddie Jacobson,53,-.639,-25.559,40
186,190,Jonathan Byrd,55,-.758,-27.300,36
187,191,Whee Kim,73,-1.035,-48.665,47
188,192,Michael Kim,61,-1.556,-70.020,45
